Jurisdiction,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
, Female,0,0,0,1,0,1,0,1,0,0,0,1,0,3,1,2,1,0,0,0,1,2,3,1,3,0,0,0,0,2,0,1,0,1,2,0,0,2,1, 
New Jersey,,60,88,72,69,65,38,42,52,49,71,129,95,111,307,171,155,112,116,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235,271,197,166,176,177,
, Male,55,86,66,67,62,38,42,52,45,68,120,91,108,297,165,141,105,112,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,246,179,153,158,163, 
, Female,5,2,6,2,3,0,0,0,4,3,9,4,3,10,6,14,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,18,13,18,14, 
New Mexico,,24,62,27,28,40,40,30,46,38,57,31,27,16,23,40,48,50,29,20,9,10,4,1,0,1,1,2,2,1,2,4,400,2,1,1,2,0,2,1,
, Male,23,51,26,27,30,30,29,41,36,51,27,25,14,22,33,48,46,29,19,9,10,4,1,0,1,1,2,2,1,2,3,397,2,1,1,2,0,1,1, 
, Female,1,11,1,1,10,10,1,5,2,6,4,2,2,1,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0, 
New York,,170,156,134,100,147,137,145,173,158,271,401,500,716,1276,1566,3749,4090,3172,2091,1568,1092,762,615,498,459,405,311,213,133,151,122,86,126,71,32,23,26,27,19,
, Male,165,147,127,95,140,136,138,169,154,268,389,497,712,1238,1484,3543,3842,2977,1926,1416,995,684,567,425,406,374,283,188,120,140,120,79,123,69,30,23,25,25,18, 
, Female,5,9,7,5,7,1,7,4,4,3,12,3,4,38,82,206,248,195,165,152,97,78,48,73,53,31,28,25,13,11,2,7,3,2,2,0,1,2,1, 
North Carolina,,951,825,750,725,621,466,394,418,437,467,469,402,394,280,220,205,216,207,179,144,111,109,0,92,92,48,52,38,54,41,0,0,0,0,0,0,0,0,0,
, Male,930,809,723,704,604,455,383,413,430,463,459,386,380,271,212,198,214,201,175,140,103,108,0,90,90,46,50,37,49,39,0,0,0,0,0,0,0,0,0, 
, Female,21,16,27,21,17,11,11,5,7,4,10,16,14,9,8,7,2,6,4,4,8,1,0,2,2,2,2,1,5,2,0,0,0,0,0,0,0,0,0, 
North Dakota,,1,0,2,0,0,1,0,1,2,0,1,1,2,4,9,2,0,6,5,7,1,9,7,1,3,4,7,5,1,7,6,5,16,8,11,6,18,30,31,
, Male,1,0,2,0,0,1,0,1,2,0,1,1,2,4,9,2,0,6,5,7,1,9,7,1,3,4,7,3,0,4,3,3,5,4,9,6,8,16,16, 
, Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,11,4,2,0,10,14,15, 
Ohio,,37,45,40,40,28,16,60,36,24,14,25,11,13,8,11,9,8,12,10,4,6,6,2,3,4,2,7,5,5,1,0,9,5,3,11,0,0,0,0,
, Male,36,45,36,40,26,16,58,33,21,14,23,11,13,8,11,8,6,12,9,4,6,6,2,3,4,2,7,5,5,1,0,9,5,3,11,0,0,0,0, 
